path,name,kind,action
首頁,📘  功能說明,action,
首頁,📥  CSV 匯入,group,
首頁/📥  CSV 匯入,📄  預覽 CSV,action,
首頁/📥  CSV 匯入,📥  匯入 CSV,action,
首頁/📥  CSV 匯入,📋  下載範本,action,
首頁/📥  CSV 匯入,📤  匯出目前內容,action,
首頁,🎛️  樣式切換,group,
首頁/🎛️  樣式切換,🌑  深色,action,
首頁/🎛️  樣式切換,🌕  淺色,action,
首頁/🎛️  樣式切換,🟣  霓虹,action,
首頁/🎛️  樣式切換,✍️  自訂配色檔,action,
首頁/🎛️  樣式切換,📄  開啟配色檔,action,
首頁,📁  開發工具,group,
首頁/📁  開發工具,🐍  啟動主程式,action,
首頁/📁  開發工具,🔧  安裝腳本,action,
首頁/📁  開發工具,☕  執行 Jar,action,
首頁/📁  開發工具,🖥️  執行腳本2,action,
首頁,🌐  常用網址,group,
首頁/🌐  常用網址,📖  官方文件,action,
首頁/🌐  常用網址,🔍  Google,action,
首頁/🌐  常用網址,🐙  GitHub,action,
首頁,⚙️  系統設定,group,
首頁/⚙️  系統設定,🎨  主題設定,action,
首頁/⚙️  系統設定,⌨️  快速鍵樣式,action,
首頁/⚙️  系統設定,⚡  快速鍵修改,action,
首頁/⚙️  系統設定,🔑  金鑰管理,action,
首頁/⚙️  系統設定,📝  編輯選單資料（Ctrl+S）,action,
首頁/⚙️  系統設定,📥  CSV 匯入,action,
首頁,📋  快速筆記,action,
首頁,🚪  離開,action,
